p_index_int,"acc_tag","acc_txt","replaceText","print_index","Print_index_a0000"
409,"_1927_","1927","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1927_','a00409') WHERE 1; ","409","a00409"
410,"_1980_","1980","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1980_','a00410') WHERE 1; ","410","a00410"
411,"_2178_","2178","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2178_','a00411') WHERE 1; ","411","a00411"
412,"_1960_","1960","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1960_','a00412') WHERE 1; ","412","a00412"
413,"_2068_","2068","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2068_','a00413') WHERE 1; ","413","a00413"
414,"_1951_","1951","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1951_','a00414') WHERE 1; ","414","a00414"
415,"_1770_","1770","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1770_','a00415') WHERE 1; ","415","a00415"
416,"_2148_","2148","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2148_','a00416') WHERE 1; ","416","a00416"
417,"_2047_","2047","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2047_','a00417') WHERE 1; ","417","a00417"
418,"_2140_","2140","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2140_','a00418') WHERE 1; ","418","a00418"
419,"_1801_","1801","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1801_','a00419') WHERE 1; ","419","a00419"
420,"_2074_","2074","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2074_','a00420') WHERE 1; ","420","a00420"
421,"_1773_","1773","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1773_','a00421') WHERE 1; ","421","a00421"
422,"_2076_","2076","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2076_','a00422') WHERE 1; ","422","a00422"
423,"_2077_","2077","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2077_','a00423') WHERE 1; ","423","a00423"
424,"_2079_","2079","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2079_','a00424') WHERE 1; ","424","a00424"
425,"_2158_","2158","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2158_','a00425') WHERE 1; ","425","a00425"
426,"_2183_","2183","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2183_','a00426') WHERE 1; ","426","a00426"
427,"_1807_","1807","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1807_','a00427') WHERE 1; ","427","a00427"
428,"_1949_","1949","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1949_','a00428') WHERE 1; ","428","a00428"
429,"_1902_","1902","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1902_','a00429') WHERE 1; ","429","a00429"
430,"_1785_","1785","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1785_','a00430') WHERE 1; ","430","a00430"
431,"_2001_","2001","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2001_','a00431') WHERE 1; ","431","a00431"
432,"_1898_","1898","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1898_','a00432') WHERE 1; ","432","a00432"
433,"_1934_","1934","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1934_','a00433') WHERE 1; ","433","a00433"
434,"_1931_","1931","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1931_','a00434') WHERE 1; ","434","a00434"
435,"_1936_","1936","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1936_','a00435') WHERE 1; ","435","a00435"
436,"_1932_","1932","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1932_','a00436') WHERE 1; ","436","a00436"
437,"_2104_","2104","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2104_','a00437') WHERE 1; ","437","a00437"
438,"_1896_","1896","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1896_','a00438') WHERE 1; ","438","a00438"
439,"_1838_","1838","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1838_','a00439') WHERE 1; ","439","a00439"
440,"_2040_","2040","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2040_','a00440') WHERE 1; ","440","a00440"
441,"_2053_","2053","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2053_','a00441') WHERE 1; ","441","a00441"
442,"_2004_","2004","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2004_','a00442') WHERE 1; ","442","a00442"
443,"_1969_","1969","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1969_','a00443') WHERE 1; ","443","a00443"
444,"_2019_","2019","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2019_','a00444') WHERE 1; ","444","a00444"
445,"_2021_","2021","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2021_','a00445') WHERE 1; ","445","a00445"
446,"_2041_","2041","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2041_','a00446') WHERE 1; ","446","a00446"
447,"_1998_","1998","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1998_','a00447') WHERE 1; ","447","a00447"
448,"_2026_","2026","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2026_','a00448') WHERE 1; ","448","a00448"
449,"_1956_","1956","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1956_','a00449') WHERE 1; ","449","a00449"
450,"_2194_","2194","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2194_','a00450') WHERE 1; ","450","a00450"
451,"_1957_","1957","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1957_','a00451') WHERE 1; ","451","a00451"
452,"_3783_","3783","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_3783_','a00452') WHERE 1; ","452","a00452"
453,"_2200_","2200","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2200_','a00453') WHERE 1; ","453","a00453"
454,"_1740_","1740","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1740_','a00454') WHERE 1; ","454","a00454"
455,"_2103_","2103","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2103_','a00455') WHERE 1; ","455","a00455"
456,"_2192_","2192","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2192_','a00456') WHERE 1; ","456","a00456"
457,"_2187_","2187","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2187_','a00457') WHERE 1; ","457","a00457"
458,"_2173_","2173","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2173_','a00458') WHERE 1; ","458","a00458"
459,"_2181_","2181","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2181_','a00459') WHERE 1; ","459","a00459"
460,"_2042_","2042","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2042_','a00460') WHERE 1; ","460","a00460"
461,"_1844_","1844","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1844_','a00461') WHERE 1; ","461","a00461"
462,"_1886_","1886","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1886_','a00462') WHERE 1; ","462","a00462"
463,"_1830_","1830","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1830_','a00463') WHERE 1; ","463","a00463"
464,"_1836_","1836","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1836_','a00464') WHERE 1; ","464","a00464"
465,"_2186_","2186","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2186_','a00465') WHERE 1; ","465","a00465"
466,"_2052_","2052","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2052_','a00466') WHERE 1; ","466","a00466"
467,"_1937_","1937","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1937_','a00467') WHERE 1; ","467","a00467"
468,"_1882_","1882","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1882_','a00468') WHERE 1; ","468","a00468"
469,"_2007_","2007","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2007_','a00469') WHERE 1; ","469","a00469"
470,"_2009_","2009","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2009_','a00470') WHERE 1; ","470","a00470"
471,"_2035_","2035","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2035_','a00471') WHERE 1; ","471","a00471"
472,"_2124_","2124","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2124_','a00472') WHERE 1; ","472","a00472"
473,"_1809_","1809","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1809_','a00473') WHERE 1; ","473","a00473"
474,"_2022_","2022","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2022_','a00474') WHERE 1; ","474","a00474"
475,"_2122_","2122","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2122_','a00475') WHERE 1; ","475","a00475"
476,"_2066_","2066","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2066_','a00476') WHERE 1; ","476","a00476"
477,"_2067_","2067","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2067_','a00477') WHERE 1; ","477","a00477"
478,"_1803_","1803","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1803_','a00478') WHERE 1; ","478","a00478"
479,"_1914_","1914","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1914_','a00479') WHERE 1; ","479","a00479"
480,"_2075_","2075","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2075_','a00480') WHERE 1; ","480","a00480"
481,"_2117_","2117","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2117_','a00481') WHERE 1; ","481","a00481"
482,"_2118_","2118","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2118_','a00482') WHERE 1; ","482","a00482"
483,"_1943_","1943","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1943_','a00483') WHERE 1; ","483","a00483"
484,"_1787_","1787","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1787_','a00484') WHERE 1; ","484","a00484"
485,"_1765_","1765","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1765_','a00485') WHERE 1; ","485","a00485"
486,"_2126_","2126","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2126_','a00486') WHERE 1; ","486","a00486"
487,"_1852_","1852","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1852_','a00487') WHERE 1; ","487","a00487"
488,"_1814_","1814","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1814_','a00488') WHERE 1; ","488","a00488"
489,"_2162_","2162","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2162_','a00489') WHERE 1; ","489","a00489"
490,"_2138_","2138","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2138_','a00490') WHERE 1; ","490","a00490"
491,"_2057_","2057","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2057_','a00491') WHERE 1; ","491","a00491"
492,"_1904_","1904","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1904_','a00492') WHERE 1; ","492","a00492"
493,"_1911_","1911","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1911_','a00493') WHERE 1; ","493","a00493"
494,"_1757_","1757","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1757_','a00494') WHERE 1; ","494","a00494"
495,"_1985_","1985","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1985_','a00495') WHERE 1; ","495","a00495"
496,"_2039_","2039","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2039_','a00496') WHERE 1; ","496","a00496"
497,"_1866_","1866","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1866_','a00497') WHERE 1; ","497","a00497"
498,"_2102_","2102","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2102_','a00498') WHERE 1; ","498","a00498"
499,"_2166_","2166","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2166_','a00499') WHERE 1; ","499","a00499"
500,"_2167_","2167","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2167_','a00500') WHERE 1; ","500","a00500"
501,"_1996_","1996","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1996_','a00501') WHERE 1; ","501","a00501"
502,"_2050_","2050","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2050_','a00502') WHERE 1; ","502","a00502"
503,"_1845_","1845","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1845_','a00503') WHERE 1; ","503","a00503"
504,"_1917_","1917","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1917_','a00504') WHERE 1; ","504","a00504"
505,"_2207_","2207","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2207_','a00505') WHERE 1; ","505","a00505"
506,"_1758_","1758","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1758_','a00506') WHERE 1; ","506","a00506"
507,"_1843_","1843","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1843_','a00507') WHERE 1; ","507","a00507"
508,"_1945_","1945","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1945_','a00508') WHERE 1; ","508","a00508"
509,"_2034_","2034","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2034_','a00509') WHERE 1; ","509","a00509"
510,"_2109_","2109","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2109_','a00510') WHERE 1; ","510","a00510"
511,"_2143_","2143","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2143_','a00511') WHERE 1; ","511","a00511"
512,"_2093_","2093","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2093_','a00512') WHERE 1; ","512","a00512"
513,"_2195_","2195","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2195_','a00513') WHERE 1; ","513","a00513"
514,"_2110_","2110","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2110_','a00514') WHERE 1; ","514","a00514"
515,"_2125_","2125","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2125_','a00515') WHERE 1; ","515","a00515"
516,"_2203_","2203","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2203_','a00516') WHERE 1; ","516","a00516"
517,"_1766_","1766","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1766_','a00517') WHERE 1; ","517","a00517"
518,"_1938_","1938","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1938_','a00518') WHERE 1; ","518","a00518"
519,"_1912_","1912","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1912_','a00519') WHERE 1; ","519","a00519"
520,"_2033_","2033","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2033_','a00520') WHERE 1; ","520","a00520"
521,"_1928_","1928","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1928_','a00521') WHERE 1; ","521","a00521"
522,"_1741_","1741","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1741_','a00522') WHERE 1; ","522","a00522"
523,"_2206_","2206","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2206_','a00523') WHERE 1; ","523","a00523"
524,"_235m_","235m","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235m_','a00524') WHERE 1; ","524","a00524"
525,"_235l_","235l","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235l_','a00525') WHERE 1; ","525","a00525"
526,"_235p_","235p","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235p_','a00526') WHERE 1; ","526","a00526"
527,"_235s_","235s","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235s_','a00527') WHERE 1; ","527","a00527"
528,"_235t_","235t","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235t_','a00528') WHERE 1; ","528","a00528"
529,"_235r_","235r","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235r_','a00529') WHERE 1; ","529","a00529"
530,"_235o_","235o","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235o_','a00530') WHERE 1; ","530","a00530"
531,"_235n_","235n","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235n_','a00531') WHERE 1; ","531","a00531"
532,"_235q_","235q","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235q_','a00532') WHERE 1; ","532","a00532"
533,"_656_","656","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_656_','a00533') WHERE 1; ","533","a00533"
534,"_642_","642","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_642_','a00534') WHERE 1; ","534","a00534"
535,"_657_","657","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_657_','a00535') WHERE 1; ","535","a00535"
536,"_641_","641","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_641_','a00536') WHERE 1; ","536","a00536"
537,"_633_","633","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_633_','a00537') WHERE 1; ","537","a00537"
538,"_639_","639","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_639_','a00538') WHERE 1; ","538","a00538"
539,"_649_","649","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_649_','a00539') WHERE 1; ","539","a00539"
540,"_644_","644","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_644_','a00540') WHERE 1; ","540","a00540"
541,"_659_","659","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_659_','a00541') WHERE 1; ","541","a00541"
542,"_666_","666","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_666_','a00542') WHERE 1; ","542","a00542"
543,"_662_","662","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_662_','a00543') WHERE 1; ","543","a00543"
544,"_648_","648","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_648_','a00544') WHERE 1; ","544","a00544"
545,"_646_","646","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_646_','a00545') WHERE 1; ","545","a00545"
546,"_664_","664","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_664_','a00546') WHERE 1; ","546","a00546"
547,"_635_","635","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_635_','a00547') WHERE 1; ","547","a00547"
548,"_638_","638","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_638_','a00548') WHERE 1; ","548","a00548"
549,"_663_","663","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_663_','a00549') WHERE 1; ","549","a00549"
550,"_650_","650","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_650_','a00550') WHERE 1; ","550","a00550"
551,"_665_","665","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_665_','a00551') WHERE 1; ","551","a00551"
552,"_661_","661","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_661_','a00552') WHERE 1; ","552","a00552"
553,"_640_","640","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_640_','a00553') WHERE 1; ","553","a00553"
554,"_658_","658","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_658_','a00554') WHERE 1; ","554","a00554"
555,"_660_","660","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_660_','a00555') WHERE 1; ","555","a00555"
556,"_653_","653","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_653_','a00556') WHERE 1; ","556","a00556"
557,"_647_","647","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_647_','a00557') WHERE 1; ","557","a00557"
558,"_634_","634","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_634_','a00558') WHERE 1; ","558","a00558"
559,"_637_","637","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_637_','a00559') WHERE 1; ","559","a00559"
560,"_643_","643","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_643_','a00560') WHERE 1; ","560","a00560"
561,"_636_","636","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_636_','a00561') WHERE 1; ","561","a00561"
562,"_632_","632","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_632_','a00562') WHERE 1; ","562","a00562"
563,"_667_","667","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_667_','a00563') WHERE 1; ","563","a00563"
564,"_645_","645","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_645_','a00564') WHERE 1; ","564","a00564"
565,"_651_","651","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_651_','a00565') WHERE 1; ","565","a00565"
566,"_652_","652","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_652_','a00566') WHERE 1; ","566","a00566"
567,"_631_","631","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_631_','a00567') WHERE 1; ","567","a00567"
568,"_655_","655","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_655_','a00568') WHERE 1; ","568","a00568"
569,"_654_","654","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_654_','a00569') WHERE 1; ","569","a00569"
570,"_451_","451","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_451_','a00570') WHERE 1; ","570","a00570"
571,"_452_","452","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_452_','a00571') WHERE 1; ","571","a00571"
572,"_56_","56","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_56_','a00572') WHERE 1; ","572","a00572"
573,"_55_","55","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_55_','a00573') WHERE 1; ","573","a00573"
574,"_149_","149","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_149_','a00574') WHERE 1; ","574","a00574"
575,"_150_","150","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_150_','a00575') WHERE 1; ","575","a00575"
576,"_54_","54","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_54_','a00576') WHERE 1; ","576","a00576"
577,"_57_","57","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_57_','a00577') WHERE 1; ","577","a00577"
578,"_148_","148","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_148_','a00578') WHERE 1; ","578","a00578"
579,"_59_","59","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_59_','a00579') WHERE 1; ","579","a00579"
580,"_70_","70","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_70_','a00580') WHERE 1; ","580","a00580"
581,"_72_","72","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_72_','a00581') WHERE 1; ","581","a00581"
582,"_63_","63","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_63_','a00582') WHERE 1; ","582","a00582"
583,"_61_","61","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_61_','a00583') WHERE 1; ","583","a00583"
584,"_69_","69","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_69_','a00584') WHERE 1; ","584","a00584"
585,"_73_","73","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_73_','a00585') WHERE 1; ","585","a00585"
586,"_64_","64","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_64_','a00586') WHERE 1; ","586","a00586"
587,"_71_","71","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_71_','a00587') WHERE 1; ","587","a00587"
588,"_66_","66","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_66_','a00588') WHERE 1; ","588","a00588"
589,"_60_","60","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_60_','a00589') WHERE 1; ","589","a00589"
590,"_65_","65","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_65_','a00590') WHERE 1; ","590","a00590"
591,"_67_","67","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_67_','a00591') WHERE 1; ","591","a00591"
592,"_62_","62","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_62_','a00592') WHERE 1; ","592","a00592"
593,"_68_","68","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_68_','a00593') WHERE 1; ","593","a00593"
594,"_58_","58","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_58_','a00594') WHERE 1; ","594","a00594"
595,"_83_","83","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_83_','a00595') WHERE 1; ","595","a00595"
596,"_80_","80","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_80_','a00596') WHERE 1; ","596","a00596"
597,"_74_","74","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_74_','a00597') WHERE 1; ","597","a00597"
598,"_82_","82","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_82_','a00598') WHERE 1; ","598","a00598"
599,"_1030_","1030","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1030_','a00599') WHERE 1; ","599","a00599"
600,"_89_","89","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_89_','a00600') WHERE 1; ","600","a00600"
601,"_91_","91","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_91_','a00601') WHERE 1; ","601","a00601"
602,"_95_","95","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_95_','a00602') WHERE 1; ","602","a00602"
603,"_81_","81","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_81_','a00603') WHERE 1; ","603","a00603"
604,"_93_","93","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_93_','a00604') WHERE 1; ","604","a00604"
605,"_85_","85","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_85_','a00605') WHERE 1; ","605","a00605"
606,"_96_","96","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_96_','a00606') WHERE 1; ","606","a00606"
607,"_75_","75","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_75_','a00607') WHERE 1; ","607","a00607"
608,"_77_","77","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_77_','a00608') WHERE 1; ","608","a00608"
609,"_86_","86","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_86_','a00609') WHERE 1; ","609","a00609"
610,"_87_","87","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_87_','a00610') WHERE 1; ","610","a00610"
