p_index_int,"acc_tag","acc_txt","replaceText","print_index","Print_index_a0000"
42,"_50_","50","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_50_','a00042') WHERE 1; ","42","a00042"
43,"_235f_","235f","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235f_','a00043') WHERE 1; ","43","a00043"
44,"_235g_","235g","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235g_','a00044') WHERE 1; ","44","a00044"
45,"_235e_","235e","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235e_','a00045') WHERE 1; ","45","a00045"
46,"_48_","48","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_48_','a00046') WHERE 1; ","46","a00046"
47,"_235h_","235h","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235h_','a00047') WHERE 1; ","47","a00047"
48,"_49_","49","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_49_','a00048') WHERE 1; ","48","a00048"
49,"_235j_","235j","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235j_','a00049') WHERE 1; ","49","a00049"
50,"_235i_","235i","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235i_','a00050') WHERE 1; ","50","a00050"
51,"_4_","4","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_4_','a00051') WHERE 1; ","51","a00051"
52,"_51_","51","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_51_','a00052') WHERE 1; ","52","a00052"
53,"_5_","5","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_5_','a00053') WHERE 1; ","53","a00053"
54,"_53_","53","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_53_','a00054') WHERE 1; ","54","a00054"
55,"_449_","449","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_449_','a00055') WHERE 1; ","55","a00055"
56,"_235a_","235a","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235a_','a00056') WHERE 1; ","56","a00056"
57,"_6_","6","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_6_','a00057') WHERE 1; ","57","a00057"
58,"_3_","3","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_3_','a00058') WHERE 1; ","58","a00058"
59,"_52_","52","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_52_','a00059') WHERE 1; ","59","a00059"
60,"_450_","450","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_450_','a00060') WHERE 1; ","60","a00060"
61,"_235k_","235k","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235k_','a00061') WHERE 1; ","61","a00061"
62,"_1990_","1990","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1990_','a00062') WHERE 1; ","62","a00062"
63,"_2028_","2028","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2028_','a00063') WHERE 1; ","63","a00063"
64,"_2107_","2107","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2107_','a00064') WHERE 1; ","64","a00064"
65,"_1984_","1984","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1984_','a00065') WHERE 1; ","65","a00065"
66,"_1777_","1777","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1777_','a00066') WHERE 1; ","66","a00066"
67,"_2170_","2170","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2170_','a00067') WHERE 1; ","67","a00067"
68,"_1771_","1771","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1771_','a00068') WHERE 1; ","68","a00068"
69,"_1810_","1810","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1810_','a00069') WHERE 1; ","69","a00069"
70,"_1922_","1922","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1922_','a00070') WHERE 1; ","70","a00070"
71,"_2013_","2013","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2013_','a00071') WHERE 1; ","71","a00071"
72,"_2149_","2149","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2149_','a00072') WHERE 1; ","72","a00072"
73,"_2189_","2189","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2189_','a00073') WHERE 1; ","73","a00073"
74,"_2196_","2196","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2196_','a00074') WHERE 1; ","74","a00074"
75,"_2197_","2197","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2197_','a00075') WHERE 1; ","75","a00075"
76,"_2144_","2144","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2144_','a00076') WHERE 1; ","76","a00076"
77,"_1909_","1909","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1909_','a00077') WHERE 1; ","77","a00077"
78,"_2089_","2089","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2089_','a00078') WHERE 1; ","78","a00078"
79,"_2090_","2090","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2090_','a00079') WHERE 1; ","79","a00079"
80,"_1744_","1744","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1744_','a00080') WHERE 1; ","80","a00080"
81,"_2038_","2038","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2038_','a00081') WHERE 1; ","81","a00081"
82,"_2011_","2011","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2011_','a00082') WHERE 1; ","82","a00082"
83,"_1779_","1779","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1779_','a00083') WHERE 1; ","83","a00083"
84,"_2010_","2010","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2010_','a00084') WHERE 1; ","84","a00084"
85,"_2174_","2174","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2174_','a00085') WHERE 1; ","85","a00085"
86,"_1832_","1832","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1832_','a00086') WHERE 1; ","86","a00086"
87,"_1831_","1831","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1831_','a00087') WHERE 1; ","87","a00087"
88,"_1835_","1835","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1835_','a00088') WHERE 1; ","88","a00088"
89,"_1834_","1834","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1834_','a00089') WHERE 1; ","89","a00089"
90,"_1833_","1833","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1833_','a00090') WHERE 1; ","90","a00090"
91,"_1892_","1892","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1892_','a00091') WHERE 1; ","91","a00091"
92,"_1842_","1842","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1842_','a00092') WHERE 1; ","92","a00092"
93,"_2065_","2065","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2065_','a00093') WHERE 1; ","93","a00093"
94,"_1899_","1899","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1899_','a00094') WHERE 1; ","94","a00094"
95,"_2155_","2155","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2155_','a00095') WHERE 1; ","95","a00095"
96,"_1958_","1958","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1958_','a00096') WHERE 1; ","96","a00096"
97,"_1791_","1791","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1791_','a00097') WHERE 1; ","97","a00097"
98,"_1804_","1804","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1804_','a00098') WHERE 1; ","98","a00098"
99,"_2024_","2024","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2024_','a00099') WHERE 1; ","99","a00099"
100,"_2064_","2064","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2064_','a00100') WHERE 1; ","100","a00100"
101,"_1887_","1887","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1887_','a00101') WHERE 1; ","101","a00101"
102,"_2119_","2119","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2119_','a00102') WHERE 1; ","102","a00102"
103,"_1944_","1944","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1944_','a00103') WHERE 1; ","103","a00103"
104,"_1891_","1891","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1891_','a00104') WHERE 1; ","104","a00104"
105,"_1975_","1975","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1975_','a00105') WHERE 1; ","105","a00105"
106,"_2069_","2069","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2069_','a00106') WHERE 1; ","106","a00106"
107,"_2164_","2164","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2164_','a00107') WHERE 1; ","107","a00107"
108,"_1894_","1894","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1894_','a00108') WHERE 1; ","108","a00108"
109,"_1967_","1967","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1967_','a00109') WHERE 1; ","109","a00109"
110,"_2150_","2150","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2150_','a00110') WHERE 1; ","110","a00110"
111,"_2153_","2153","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2153_','a00111') WHERE 1; ","111","a00111"
112,"_1948_","1948","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1948_','a00112') WHERE 1; ","112","a00112"
113,"_2175_","2175","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2175_','a00113') WHERE 1; ","113","a00113"
114,"_1930_","1930","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1930_','a00114') WHERE 1; ","114","a00114"
115,"_2156_","2156","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2156_','a00115') WHERE 1; ","115","a00115"
116,"_1750_","1750","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1750_','a00116') WHERE 1; ","116","a00116"
117,"_2037_","2037","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2037_','a00117') WHERE 1; ","117","a00117"
118,"_2049_","2049","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2049_','a00118') WHERE 1; ","118","a00118"
119,"_1774_","1774","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1774_','a00119') WHERE 1; ","119","a00119"
120,"_2152_","2152","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2152_','a00120') WHERE 1; ","120","a00120"
121,"_2032_","2032","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2032_','a00121') WHERE 1; ","121","a00121"
122,"_2084_","2084","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2084_','a00122') WHERE 1; ","122","a00122"
123,"_2130_","2130","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2130_','a00123') WHERE 1; ","123","a00123"
124,"_1880_","1880","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1880_','a00124') WHERE 1; ","124","a00124"
125,"_1977_","1977","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1977_','a00125') WHERE 1; ","125","a00125"
126,"_2062_","2062","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2062_','a00126') WHERE 1; ","126","a00126"
127,"_1742_","1742","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1742_','a00127') WHERE 1; ","127","a00127"
128,"_1987_","1987","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1987_','a00128') WHERE 1; ","128","a00128"
129,"_1878_","1878","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1878_','a00129') WHERE 1; ","129","a00129"
130,"_1903_","1903","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1903_','a00130') WHERE 1; ","130","a00130"
131,"_1907_","1907","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1907_','a00131') WHERE 1; ","131","a00131"
132,"_2030_","2030","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2030_','a00132') WHERE 1; ","132","a00132"
133,"_2182_","2182","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2182_','a00133') WHERE 1; ","133","a00133"
134,"_1959_","1959","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1959_','a00134') WHERE 1; ","134","a00134"
135,"_2061_","2061","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2061_','a00135') WHERE 1; ","135","a00135"
