kpid,"sti","acc",acc_int
1605,"By the Obedience of One shall many be made Righteous","1026",0
1606,"Can the Ethiopian change his skin, or the Leopard his spots?","1670",0
1607,"Candid expostulation with those, who trespass against us","2175",0
1608,"Care in hearing the Word","1930 ",0
1609,"Care of salvation, On the","276",0
1610,"Case of the penitent thief, The","2156",0
1611,"Catechismum de Domini Cana, In","4021",0
1612,"Cause of Children Advocated, The","969a",0
1613,"Cause of Children Advocated, The","969",0
1614,"Cause of young children advocated, The","970",0
1615,"Caution against falling from Grace","1750",0
1616,"Ceasing to do evil ","2037 ",0
1617,"Celestial Glory, On","229",0
1618,"Centurion's petition for his sick servant, The","2049 ",0
1619,"Certainty of Death, On the","976",0
1620,"Certainty of Death, On the","1030",0
1621,"Certainty of future happiness, On the","1774",0
1622,"Character & errand of Ministers","2152",0
1623,"Character of a profitable resolution to amend ","2032 ",0
1624,"Character of Cornelius, The","2084",0
1625,"Character of Judas, On the","978",0
1626,"Character of St Paul, On the","2130",0
1627,"Charge to the Newly Ordained, A","991c",0
1628,"Charity of Baltimore, The","114",0
1629,"Charity to one's enemies, On","298",0
1630,"Charity, --as defined by St Paul","1880",0
1631,"Charity, On","348",0
1632,"Charity, On","349",0
1633,"Charity, On","406",0
1634,"Charity: John the Apostle","163",0
1635,"Charity: Mark, VIII, 2","167",0
1636,"Charity: The Neighbor","145",0
1637,"Children of Light instructed how to walk, The","897",0
1638,"Children, obey your Parents in the Lord","680",0
1639,"Christ a propitiation for the sins of the world ","1977 ",0
1640,"Christ as Mediator","4041",0
1641,"Christ hath redeemed us from the curse of the law","809",0
1642,"Christ Jesus our Lord","1022",0
1643,"Christ our deliverer and salvation","830",0
1644,"Christ our head","934jj",0
1645,"Christ tempted","934uu",0
1646,"Christ the light of the World, On","832",0
1647,"Christ the salvation of the end of the earth","2062",0
1648,"Christ's Crucifixion, Of","934w",0
1649,"Christ's Invitation to penitent Sinners","1742",0
1650,"Christ's Love for the Church","4029",0
1651,"Christ's Passion, Of","934gg",0
1652,"Christ's Preaching to Spirits, On","3110",0
1653,"Christ's propitiation, Of","934cc",0
1654,"Christ's reanimated body not imaginary, but real ","1987 ",0
1655,"Christ's Resurrection, Of","934j",0
1656,"Christian Charity","330",0
1657,"Christian Conduct (1), On","3039",0
1658,"Christian Conduct (2), On","3040",0
1659,"Christian Conduct (3), On","3092",0
1660,"Christian Covenant, The","4037",0
1661,"Christian Parent, The","4031",0
1662,"Christian race, Of the","934r",0
1663,"Christian Race, The","1878",0
1664,"Christian Religion, On the","867",0
1665,"Christian Sacrifice, The","1903",0
1666,"Christian Salvation","1907",0
1667,"Christian Salvation a deliverance from Sin ","2030 ",0
1668,"Christian Unity (1), On","3024",0
1669,"Christian Unity (2), On","3025",0
1670,"Christianity a spring of spiritual joy","2182",0
1671,"Christianity vindicated ","1959 ",0
1672,"Christmas","756",0
1673,"Christmas","757",0
1674,"Christmas Day, For","4035",0
1675,"Christmas in what Manner to be Kept","3076",0
1676,"Christmas Religion & Joy compatible, About","2061",0
1677,"Christmas [Two Sermons by John Coleman]","755",0
1678,"Christmas, For","1793",0
1679,"Christmas, For ","1970 ",0
1680,"Christmas, For","2127",0
1681,"Church Musick","2201",0
1682,"Circumcision, On the","437",0
1683,"Circumcision, On the","464",0
1684,"Circumcision, On the","235m",0
1685,"City that is on an Hill cannot be hid, A","945",0
1686,"Colossians 3:2, On","3089",0
1687,"Come unto me all ye that labour","1012",0
1688,"Comforting & edifying one another","2085",0
1689,"Coming of the Holy Ghost, On the","295",0
1690,"Coming to Judgment","4002",0
1691,"Commandment to Love, On","3100",0
1692,"Commandment, On the 3rd.","278",0
1693,"Commandments of God, The","4015",0
1694,"Commemoration of American Independence","135",0
1695,"Communion, On","209",0
1696,"Communion, On","224",0
1697,"Communion, On","236",0
1698,"Communion, On","260",0
1699,"Communion, On","405",0
1700,"Communion, On","410",0
1701,"Communion, On","235i",0
1702,"Complaint of Sufferer","4007",0
1703,"Completion of a church, On","110",0
1704,"Concerning the law of Moses ","2017 ",0
1705,"Concerning the Law of Moses, No. 2.","2018 ",0
1706,"Condemning one's neighbor, On","354",0
1707,"Confessing of Christ before men, &c.","2151",0
1708,"Confession of sin, and its blessed Effects","2063",0
1709,"Confirmation","2141",0
1710,"Confirmation of faith, On the","117",0
1711,"Confirmation, On","1918",0
1712,"Confirmation, On","1919",0
1713,"Confirmation: II Corinthians I, 21","132",0
1714,"Confirmation: John, V","154",0
1715,"Confirmation: Jude, V, 20","140",0
1716,"Conforming our will to God, On","50",0
1717,"Conformity to the World, Against","1864",0
1718,"Congregational discord, On","109",0
1719,"Conscience void of offence, A","2184",0
1720,"Conscience, On","1829",0
1721,"Consideration of our ways","2190",0
1722,"Contemplation of Christ, The","477",0
1723,"Contempt of the world, On the","107",0
1724,"Contending for the faith ","1993 ",0
1725,"Contentment, On","1780",0
1726,"Continuing patiently in well-doing","2088",0
1727,"Contrition, On","344",0
1728,"Convention Sermon","749",0
1729,"Corinthians 11: 29, On 1","3140",0
1730,"Corr 1, 21, 1[First]","1643",0
1731,"Corrupt Clergy, A","842",0
1732,"Corruption of Heart, On ","2048 ",0
1733,"Counsel of God & Future Glory","1870",0
1734,"Counsels of the Heart, On","3029",0
1735,"Covering sin; its evils, &c, &c ","1971 ",0
1736,"Creation","951",0
1737,"Creed, On the ","273",0
1738,"Creed, On the","385",0
1739,"Creed, On the 10th Article of the ","263",0
1740,"Creed, On the second article of the;","272",0
1741,"Crime and Curse of Plundering, The","952",0
1742,"Cross, On the","885",0
1743,"Crowning with thorns, On the","433",0
1744,"Crucifixion of The Flesh","1910",0
1745,"Cup of Blessing, The","999",0
1746,"Daemoniac, The","748",0
1747,"Danger of consenting to smaller offences, The","2205",0
1748,"Danger of ill advice, On the","1798",0
1749,"Danger of impenitence, On the","242",0
1750,"Danger of Mocking Religion, The","657",0
1751,"Danger of relapsing into former Sins, On ye","250",0
1752,"Danger of riches, The","1821",0
1753,"Dangerous to live in sin","235f",0
1754,"Daniel & the Den of Lions","2051",0
1755,"Day of death better than the day of one's birth","2193",0
1756,"Day of judgment, On the","235l",0
1757,"Days of Darkness, On","3027",0
1758,"De Domini Cana.--un [sic. unum?] Deum","4047",0
1759,"Death as an Enemy, On","3003",0
1760,"Death Cannot Praise God","3127",0
1761,"Death of Edward Lloyd, On the","721",0
1762,"Death of the Just, On the","231",0
1763,"Death of the Old Year, On the","2179",0
1764,"Death, On","38",0
1765,"Death, On","39",0
1766,"Death, On","89",0
1767,"Death, On","91",0
1768,"Death, On","235d",0
1769,"Death, On","902",0
1770,"Death, On Preparation for","95",0
1771,"Death: Fragments","151",0
1772,"Decay of Christianity, The","469",0
1773,"Decree on the death of Pius VI","118",0
1774,"Dedication of a chapel to the Virgin Mary, On the","63",0
1775,"Dedication to God","476",0
1776,"Defective righteousness of the Scribes & Pharisees","2097",0
1777,"Delaying to repent, On","291",0
1778,"Delight in the Lord, On","3111",0
1779,"Delighting in God","1908",0
1780,"Deliverance from sea dangers","934qq",0
1781,"Deliverance from sin, the End of Christ's coming","1700",0
1782,"Delusions of the world, On the","195",0
1783,"Denial of the Existence of God, The","641",0
1784,"Departing from Iniquity","2072",0
1785,"Descent into Hell, The","2177",0
1786,"Description of Judgment Day","4036",0
1787,"Desire of righteousness, Of the","1822",0
1788,"Detraction, On","218",0
1789,"Detraction, On","1034",0
1790,"Devotion to Saints and their relics, On","81",0
1791,"Devotion to the blessed virgin, On the","185",0
1792,"Devotion, On","2202",0
1793,"Difficulty of Salvation, On the","255",0
1794,"Discourse on Regulators in 1768","959",0
1795,"Discourse on the Analogy between Christ crucified, & the brazen Serpent, A","981",0
1796,"Discourses Delivered in Charleston","988",0
1797,"Disease of Sin","4005",0
1798,"Displaying our light before men to the glory of God, On","2092",0
1799,"Dispositions for confession","258",0
1800,"Dispositions necessary to receive profitably the Sacrament of penance, Of the","235p",0
1801,"Dispute with Papists (1), On the","3044",0
1802,"Dispute with Papists (2), On the","3045",0
1803,"Dispute with Papists (3), On the","3046",0
1804,"Dispute with Papists (4), On the","3047",0
1805,"Distinction between Doers & mere Hearers of the word","1752",0
1806,"Divine Assistance and Revelation, Concerning","3075",0
1807,"Divine goodness, On","43",0
1808,"Divine Government the Joy of our World, The","946",0
1809,"Divine Inspiration of the Scriptures, On the","1754",0
1810,"Divine Inspiration of the Scriptures, On the","1755",0
1811,"Divine Providence, Of a ","1847",0
1812,"Divine Wrath and Mercy, On","4028",0
1813,"Divinity of Christ & the Truth of His Revelation, The","633",0
1814,"Doctrine of the Church, The","4026",0
1815,"Doctrine of the Triune God, The","639",0
1816,"Doctrine, Morals, and Blasphemy, On","737",0
1817,"Doing honor to priests, On","308",0
1818,"Doubting, On","3016",0
1819,"Draw nigh to God","834",0
1820,"Duties of a Xtian Minister, The","1778",0
1821,"Duties of Parents: Ephesians, VI, 4","160",0
1822,"Duties Regarding the Sacrament of the Lord's Supper","1004",0
1823,"Duties Regarding the Sacrament of the Lord's Supper","1005",0
1824,"Duty in the Receiving of the Lord's Supper","1008",0
1825,"Duty of Man to his Creator, On the","980",0
1826,"Duty of Parents to Educate their Children, The","649",0
1827,"Duty of parents to their children, On the","1839",0
1828,"Duty of Praise, On the","1746",0
1829,"Duty of Submission to God, The","1767",0
1830,"Duty of Xtians under afflictions ","1946 ",0
1831,"Duty to God, On","44",0
1832,"Duty towards children, On","192",0
1833,"Dying unto sin, and living unto righteousness","1837",0
1834,"Ear & the eye -- proofs of the existence of a God, The","2091",0
1835,"Early piety, On","1792",0
1836,"Earth a Place of Troubles, The","644",0
1837,"Earthly happiness, On","1808",0
1838,"Ease, Of","872",0
1839,"Easiness of Christ's yoke, The","934rr",0
1840,"Easter Duty","144",0
1841,"Easter duty, On","234",0
1842,"Easter duty, On","235",0
1843,"Easter duty, On","313",0
1844,"Easter duty, On","396",0
1845,"Easter duty, On","429",0
1846,"Easter Sermon","871",0
1847,"Easter Sunday, On","328",0
1848,"Easter, For","1799",0
1849,"Easter, For","1817",0
1850,"Easter, For","1889",0
1851,"Easter, For ","1939 ",0
1852,"Easter, For ","1986 ",0
1853,"Easter, For ","2027 ",0
1854,"Easter, For","2106",0
1855,"Easter, For","2139",0
1856,"Easter, On","375",0
1857,"Easter, On","3042",0
1858,"Education, On","839",0
1859,"Education, On","2099",0
1860,"Education, On","2105",0
1861,"Education, On","3096",0
1862,"Effects of Sin, Ye","235g",0
1863,"Eight Beatitudes, On ye","384",0
1864,"Eighth Article of the Creed, On the","282",0
1865,"Eighth Commandment, On the ","2005 ",0
1866,"Eleventh and twelfth articles of the Creed, On the","279",0
1867,"Encouragement to persevere in well-doing ","1997 ",0
1868,"End and the Means, The","659",0
1869,"End of Christ's giving himself for us ","2003 ",0
1870,"End of the perfect & upright man, The ","2020 ",0
1871,"Envy, On","1776",0
1872,"Ephiphany","459",0
1873,"Epiphany, For the","1868",0
1874,"Epiphany, For the ","2016 ",0
1875,"Epiphany, For the","2100",0
1876,"Epiphany, For the","2131",0
1877,"Epiphany, For the","2161",0
1878,"Epiphany, On the","93",0
1879,"Epiphany, On the","259",0
1880,"Epiphany, On ye","290",0
1881,"Episcopal Charitable Institution, For the","2180",0
1882,"Establishment of the Xn Church, On the","100",0
1883,"Eternal life","2096",0
1884,"Eternity","275",0
1885,"Eternity of God, On the","1759",0
1886,"Eternity, On","208",0
1887,"Eternity, On","213",0
1888,"Eternity, On","372",0
1889,"Eucharist as Thanksgiving(1), On the","3079",0
1890,"Eucharist as Thanksgiving(2), On the","3080",0
1891,"Eucharist, On the","3081",0
1892,"Eucharist: Frequentation","158",0
1893,"Eucharist: The Great Supper","162",0
1894,"Eucharist: The Old Law and the New","127",0
1895,"Evening Prayer, On","666",0
1896,"Everlasting Life, On","3004",0
1897,"Every man shall receive his own reward, according to his own labour","1690",0
1898,"Every one that loveth is born of God","936",0
1899,"Evil of Punishment, On the","3078",0
1900,"Evil, On","41",0
1901,"Example of Nehemiah, The","2146",0
1902,"Examples to Christians","934tt",0
1903,"Excellence of the Holy Scriptures, On the","1756",0
1904,"Excellency of the knowledge of Christ Jesus, The","2185",0
1905,"Except a man be born again He cannot see the Kingdom of God","979",0
1906,"Except ye repent, ye shall all in like manner perish","925",0
1907,"Excommunication of John Causse, On the","112",0
1908,"Exhortation to fraternal Charity, An","238",0
1909,"Exodus 33: 18-19, On","3135",0
1910,"Experience -- hope","2087",0
1911,"Ezek 33, 33 Sermon 2d","1637",0
1912,"Faith","131",0
1913,"Faith","274",0
1914,"Faith","277",0
1915,"Faith & Good Works, Upon","302",0
1916,"Faith & means necessary to a successful seeking of God ","1950 ",0
1917,"Faith and Patience, On","3008",0
1918,"Faith in God, On","3118",0
1919,"Faith the Gift of God. 1786","1707",0
1920,"Faith, Hope, and Charity","794",0
1921,"Faith, On","210",0
1922,"Faith, On","248",0
1923,"Faith, On","341",0
1924,"Faith, On","1737",0
1925,"Faithful discharge of duty, On a","2157",0
1926,"Faithful discharge of Duty, On a","2159",0
1927,"Fallacy of certain specious doctrines detected, The","1823",0
1928,"False Prophets","129",0
1929,"False Prophets","142",0
1930,"False prophets, On","56",0
1931,"Farewell Sermon","923",0
1932,"Fast (May 9, 1798), For the","2142",0
1933,"fast appointed by public authority, for a","681",0
1934,"Fast on account of the Philadelphia Epidemic ","1962 ",0
1935,"Fast Sermon Preached in 1756 on I Kings 21:29, A","468",0
1936,"Fast Sermon, A","934ff",0
1937,"Fasting, On","85",0
1938,"Fasting, On","201",0
1939,"Fasting, On","320",0
1940,"Fasting, On","350",0
1941,"Fasting, On","373",0
1942,"Fate of the Unrighteous","1924",0
1943,"Fear of God, On the","1761",0
1944,"Fear of the Lord, On","738",0
1945,"Fear of the Lord, On","3028",0
1946,"Fear, & service of god, The ","13 ",0
1947,"Feast of All Saints, On the","204",0
1948,"Feast of All Saints, On the","419",0
1949,"Feast of All Saints, On the","425",0
1950,"Feast of all Saints, The","55",0
1951,"Feast of Corpus Christi, On the","96",0
1952,"Feast of Corpus Christi, On the","181",0
1953,"Feast of Corpus Christi, On the","205",0
1954,"Feast of Corpus Christi, On the","237",0
1955,"Feast of Corpus Christi, On the","303",0
1956,"Feast of Lent, On the","450",0
1957,"Feast of St. Ignatius, On the","75",0
1958,"Feast of St. Ignatius, On the","101",0
1959,"Feast of the name of Jesus, On the","463",0
1960,"Feast of the Sacred Heart, On the","61",0
1961,"Fervent in Spirit","803",0
1962,"Festa Sancti P. Ignatii, In","402",0
1963,"First Commandment, On the","268",0
1964,"First Commandment, On the","428",0
1965,"First commandment, On the ","2000 ",0
1966,"Five Sermons by George Goundril","882",0
1967,"Five Sermons by John Coleman","823",0
1968,"Folly of making a mock at sin","2154",0
1969,"Fools make a Mock at Sin","836 ",0
1970,"For Adven","1920",0
1971,"For Advent. The religion of the ancient & modern heathen","1921",0
1972,"For Christmas","1923",0
1973,"For of such is the Kingdom of Heaven","1677",0
1974,"For the Epiphany","1926",0
1975,"For the Thanksgiving-day, 1792","1915",0
1976,"Force of Truth, The","662",0
1977,"Forgetting those things which are behind","1691",0
1978,"Form with the power, The ","2044 ",0
1979,"Fornication and Uncleanness, On","4",0
1980,"Fortitude & resolution, of","934g",0
1981,"Founded on the event of the Pool of Bethesda ","2023 ",0
1982,"Four Sermons [by Hatch Dent]","865",0
1983,"Fourtie eight sermons preached by Mr. Robert Paxton","934",0
1984,"Fraud, On","3097",0
1985,"Free Schools, For the","1802",0
1986,"Free Schools, For the","1841",0
1987,"Free Will, On","745",0
1988,"Freedom is a blessing","932a",0
1989,"Frequent communion <i>after easter</i>, On","178",0
1990,"Frequent communion, On","420",0
1991,"Friends, On","3137",0
1992,"Friendship compatible with Christianity","2198",0
1993,"Friendship of the World, The","1913",0
1994,"From John XII, 13, No. 1","1884",0
1995,"Frontier-mission, For the ","1963 ",0
1996,"Fruit of the Spirit, The","797",0
1997,"Fruit of the Spirit, The ","1992 ",0
1998,"Fruits meet for repentance","2094",0
1999,"Fruits of the Cross","2165",0
2000,"Fruits of the Spirit, The","1673",0
2001,"Fruits of the Spirit, The","4017",0
2002,"Fruits required from men are proportioned to their advantages.","1820",0
2003,"Fruits ye criterion of character","2163",0
2004,"Fulness of Time, The","1723",0
2005,"Fund proposed in Canon 16th, For the ","1981 ",0
2006,"Funeral of a Young Girl, At the","3002",0
2007,"Funeral of Anne Lloyd, On the","720",0
2008,"Funeral sermon","2168",0
2009,"Funeral Sermon","4048",0
2010,"Funeral Sermon for Benjamin Howard, Esq.","4032",0
2011,"Funeral Sermon for J. Wells","3060",0
2012,"Funeral Sermon for Mrs. Nancy Austin","648",0
2013,"Funeral Sermon Jan. 1799","753",0
2014,"Funeral Sermon on Col. 3:3-4.","3059",0
2015,"Funeral Sermon on Job 14:2","3061",0
2016,"Funeral Sermon on Proverbs 23:25","3058",0
2017,"Funeral sermon on younger Robert Carter at Nomini","915",0
2018,"Funeral Sermon Preached By the Reverend Father Robert Harding, A","245",0
2019,"Funerals, On","3000",0
2020,"Future happiness, Of","934q",0
2021,"Future Judgement, On a","1805",0
2022,"Future state of existence & its consolations, On a","2199",0
2023,"General Judgmt","340",0
2024,"Genuine Love of God, On","831",0
2025,"Give us this day our daily bread","2120",0
2026,"Giving Alms, On","438",0
2027,"Giving scandal, On","69",0
2028,"Gluttony, On","351",0
2029,"Go ye therefore & teach all nations","985",0
2030,"God is a Spirit","2133",0
2031,"God is faithful, who will not suffer you to be tempted above that ye are able","1730",0
2032,"God is Love","746",0
2033,"God is not a man that he should lie","1683",0
2034,"God ought to be served rather than Baal ","1942 ",0
2035,"God the only source of comfort, support, & protection","1850",0
2036,"God's Design","3077",0
